Name_AR,Name_EN,Price,Brand_AR,Category_AR,Sub_Category_AR,Active_Ingredient,Requires_Fridge,Indications,Dosage
فاين مناديل للجيب معقمة 10 مناديل,Fine Sterilized Pocket Tissue 10 Tissues,3,فاين,العناية اليومية,مناديل & ورقيات,N/A,No,,
ألفينترن 30 قرص,Alphintern 30 Tablets,87,امون,الأدوية,مضادات الالتهاب و التورم,N/A,No,تقليل الالتهاب والتورم المرتبط بالعديد من الحالات، بما في ذلك: التهاب الجيوب الأنفية التهاب البلعوم التهاب اللوزتين التهاب الأذن الوسطى التهاب اللثة التهاب الشعب الهوائية جراحة الساد الوذمة والكدمات بعد الجراحة الالتواءات والشد العضلي التهاب المفاصل التهاب الضرع التهاب المستقيم,البالغون والأطفال فوق 12 عامًا: 1-2 قرص 3 مرات يوميًا قبل الوجبات.
لاصقات عين للأطفال,Eye Patch For Children,1.5,N/A,الأجهزة والمستلزمات الطبية,غطاء العين,N/A,No,,
كيور ايد لاصقات هيدروكولويد 24 قطعة,Cure Aid Hydrocolloid Spots For Acne & Cold Sores 24 Pieces,50,N/A,العناية بالبشرة و الجسم,العناية بحب الشباب,N/A,No,,
لاصقات عين للكبار,Eye Patch For Adults,1.5,N/A,الأجهزة والمستلزمات الطبية,غطاء العين,N/A,No,,
بانادول أدفانس 500 مجم 48 قرص مغلف,Panadol Advance 500 mg 48 Film Coated Tablets,92,جي إس كيه,الأدوية,مسكنات وخافض الحرارة,باراسيتامول,No,تخفيف الألم وتقليل الحمى.,قد تختلف الجرعة استنادًا إلى العوامل الفردية وتوجيهات الطبيب. لا تتجاوز الجرعة الموصى بها لتجنب الآثار الجانبية المحتملة.
ميلجا أدفانس 30 قرص,Milga Advance 30 Tablets,150,ايفا فارما,فيتامينات & طعام صحي,فيتامين ب وب مركب,N/A,No,يدعم صحة الأعصاب يساعد في إدارة العصب السكري يعزز الصحة العامة,
اوجمنتين 1 جم 14 قرص,Augmentin 1 gm 14 Film Coated Tablets,210,جي إس كيه,الأدوية,مضادات حيوية,أموكسيسيلين + حمض الكلافولانيك,No,مضاد حيوي يحتوي على أموكسيسيلين وحمض كلافولانيك يستخدم لعلاج الالتهابات البكتيرية,البالغين: قرص كل 12 ساعة الأطفال: الجرعة تعتمد على العمر والوزن
ميكستارد 30 100 وحدة دولية/مل 10 مل 1 فيال,Mixtard 30 100 I.U./ml 10 ml 1 Vial,130,نوفو نورديسك,الأدوية,الانسولين,الأنسولين البشري + الأنسولين الإيزوفان البروتامين البشري,Yes,,
أوتريفين نقط للأنف للكبار 15مل,Otrivin Nasal Drops For Adult 15 ml,24,جي إس كيه,الأدوية,مضادات الاحتقان و الجيوب الأنفية,زايلوميتازولين,No,التخفيف المؤقت من احتقان الأنف الناتج عن نزلات البرد العادية وحمى القش (التهاب الأنف التحسسي) والتهابات الجيوب الأنفية.,2-3 قطرات في كل فتحة أنف، حتى 3 مرات في اليوم. لا تستخدمه لأكثر من 7 أيام دون استشارة الطبيب.
سرنجة اطفال 3 سم,Syringe For Children 3 Cm,3,N/A,الأجهزة والمستلزمات الطبية,كانيولا و سرنجات,N/A,No,,
أوستيوكير 30 قرص,Osteocare 30 Tablets,180,فيتابيوتكس,فيتامينات & طعام صحي,معادن متعددة,N/A,No,,
فاين فلافي مناديل بيضاء معقمة للوجه 480 منديل,Fine Fluffy White Sterilized Tissues 480 Tissues,34,فاين,العناية اليومية,مناديل & ورقيات,N/A,No,,
ميثيل تكنو 1000 مكجم 30 فيلم قابل للذوبان بالفم,Methyltechno 1000 mcg 30 Oral Films,135,نيرهادو,فيتامينات & طعام صحي,فيتامين ب وب مركب,N/A,No,مكمل غذائي يحتوي على ميثيل كوبالامين، وهو أحد أشكال فيتامين ب12.,
بلافيكس 75 مجم 28 قرص مغلف,Plavix 75 mg 28 Film Coated Tablets,311,سانوفى,الأدوية,أمراض القلب و الضغط و الدم,كلوبيدوغريل,No,عامل مضاد للتجلط يستخدم عقار كلوبيدوجريل لمنع تكون جلطات الدم في الأوعية الدموية المتصلبة (الشرايين). يستخدم عقار كلوبيدوجريل أيضًا لتقليل خطر الإصابة بالسكتة الدماغية والنوبات القلبية والوفاة لدى الأشخاص الذين أصيبوا بنوبة قلبية أو سكتة دماغية أو الذين يعانون من مرض الشرايين المحيطية (PAD).,75 مليجرام مرة واحدة يومياً
كليكسان 4000 وحدة دولية (40 مجم)/0.4 مل 2 سرنجة مملوءة مسبقًا,Clexane 4000 I.U. (40 mg)/0.4 ml 2 Pre-Filled Syringes,311,سانوفى,الأدوية,أمراض القلب و الضغط و الدم,إنوكسابارين الصوديوم,No,يمنع جلطات الدم يحتوي على إنوكسابارين الصوديوم، وهو عبارة عن هيبارين منخفض الوزن الجزيئي,حسب توجيهات الطبيب
بانادول إكسترا مع تركيبة الأوبتيزورب 24 قرص مغلف,Panadol Extra With Opti Zorb Formulation 24 Film Coated Tablets,58,جي إس كيه,الأدوية,مسكنات وخافض الحرارة,باراسيتامول + كافيين,No,,
اسبرين بروتكت 100 مجم 30 قرص ذات كسوة معوية,Aspirin Protect 100 mg 30 Enteric Coated Tablets,78,باير,الأدوية,أمراض القلب و الضغط و الدم,حمض الأسيتيل ساليسيليك,No,,
ديوراميد غيار جروح غير منسوج عالي الأمتصاص 20/10 سم,"Duramid Wound Dressing, Highly Absorbent, 10/20 Cm",12,ماسكو ميد,الأجهزة والمستلزمات الطبية,العناية بالجروح والحروق,N/A,No,,
سيتال 250 مجم / 5 مل شراب معلق 60 مل,Cetal 250 mg/5 ml Suspension 60 ml,31,إيبيكو,العناية بصحة الأطفال,مسكنات وخافض الحرارة,باراسيتامول,No,,تعتمد الجرعة على عمر ووزن المريض. اتبع توصيات أخصائي الرعاية الصحية.
بيكولاكس نقط بالفم 15 مل,Picolax 0.75% Oral Drops 15 ml,24,إيبيكو,الأدوية,الملينات,صوديوم بيكوسلفات,No,تخفيف الإمساك تنظيف الأمعاء قبل الجراحة أو غيرها من الإجراءات الطبية,البالغين والأطفال الذين تزيد أعمارهم عن 10 سنوات: خذ 10-18 قطرات (1.5-3 مل) في وقت النوم. الأطفال من 6 إلى 10 سنوات: خذ 5-9 قطرات (0.75-1.5 مل) في وقت النوم.
ليمتلس اوميجا -3 فيش اويل 2000 مجم 30 كبسولة جيلاتينية,Limitless Omega-3 Fish Oil 30 Capsules,250,ليمتلس,فيتامينات & طعام صحي,"زيوت الأسماك وأوميجا 3,6.9",N/A,No,,
كونكور 5 مجم 30 قرص مغلف,Concor 5 mg 30 Film Coated Tablets,72,ميرك,الأدوية,أمراض القلب و الضغط و الدم,بيسوبرولول,No,علاج ارتفاع ضغط الدم (ارتفاع ضغط الدم). علاج الذبحة الصدرية المستقرة المزمنة. منع الإصابة المتكررة بالذبحة الصدرية. علاج قصور القلب.,الجرعة المبدأية المعتادة هي 2.5 مليجرام مرة واحدة يوميًا. يمكن زيادة هذه الجرعة تدريجيًا، حسب الحاجة، إلى حد أقصى قدره 20 مليجرام مرة واحدة يوميًا.
كانيولا مقاس 24 لون اصفر,Cannula Size 24 Yellow,13,N/A,الأجهزة والمستلزمات الطبية,كانيولا و سرنجات,N/A,No,,
سبازموديجستين 30 قرص,Spasmodigestin 30 Tablets,78,فاركو,الأدوية,مضاد للتقلصات,ديسيكلومين هيدروكلوريد + باباين + بانكرياتين + سيميثكون,No,متلازمة القولون العصبي (IBS) القولون العصبي تقلصات البطن,
جاناتون 50 مجم 30 قرص,Ganaton 50 mg 30 Tablets,90,أبوت,الأدوية,مهضم ومضاد للانتفاخات,أيتوبريد,No,جاناتون هو دواء يستخدم لعلاج مجموعة متنوعة من حالات الجهاز الهضمي ، بما في ذلك خزل المعدة ومتلازمة القولون العصبي وعسر الهضم الوظيفي. يعمل عن طريق زيادة حركة الطعام عبر المعدة والأمعاء.,الجرعة المعتادة للبالغين هي 1 قرص عن طريق الفم قبل 30 دقيقة من وجبات الطعام.
بروفين 100 مجم/5 مل شراب 150 مل,Brufen 100 mg/5 ml Syrup 150 ml,44,أبوت,العناية بصحة الأطفال,مسكنات وخافض الحرارة,N/A,No,دواء خافض للحرارة ومسكن ومضاد للالتهابات للأطفال لتخفيف الألم وخفض الحمى وتخفيف الالتهاب.,
بيتاديرم كريم 0.1% 30 جم,Betaderm 0.1% Cream 30 gm,23,إيبيكو,الأدوية,ملطف موضعي و مضاد للالتهاب,بيتاميثازون,No,علاج مجموعة متنوعة من حالات الجلد، بما في ذلك الإكزيما والصدفية والتهاب الجلد والحساسية والطفح الجلدي. الحد من التهاب الجلد والحكة والاحمرار.,ضع طبقة رقيقة من الكريم على المنطقة المصابة مرة أو مرتين يوميًا.
ديفلوكان 150 مجم 1 كبسولة,Diflucan 150 mg 1 Capsule,111,فايزر,الأدوية,مضاد للفطريات,فلوكونازول,No,مضاد للفطريات يعالج مجموعة متنوعة من الالتهابات الفطرية، بما في ذلك عدوى الخميرة المهبلية والدودة الحلقية وقدم الرياضي مناسب للبالغين والأطفال الذين تزيد أعمارهم عن 12 عامًا,البالغون: 150 مجم مرة واحدة يوميًا لمدة 1-7 أيام الأطفال الذين تزيد أعمارهم عن 12 عامًا: 150 مجم مرة واحدة يوميًا لمدة 1-7 أيام
أوبليكس إن شراب 125 مل,Oplex - N Syrup 125 ml,31,العامرية,الأدوية,أدوية الكحة,جوايفينيسين + أوكسوميمازين + بنزوات الصوديوم,No,علاج السعال الجاف والسعال الرطب، بما في ذلك السعال الناتج عن الحساسية والمهيجات.,
وايت واتر مناديل مبللة 50 منديل,White Water Wipes 50 Wipes,35,وايت,العناية اليومية,مناديل & ورقيات,N/A,No,تنظيف الأوساخ وتغيير الحفاضات وإنعاش البشرة (الوجه والجسم).,
كيناكومب كريم موضعي 15 جرام,Kenacomb Topical Cream 15 gm,36,سميث كلاين بيتشام,الأدوية,عدوى الجلد,جراميسيدين + نيومايسين + نيستاتين + تريامسينولون,No,هو مزيج من الستيرويد المضاد للالتهابات، مضاد الحيوي والمضاد للفطريات. يستخدم لعلاجحالات الجلد الملتهبة، المصابة بالعدوى، أو المعرضة للإصابة بالعدوى.,جرعة كريم كيناكومب الموضعي ستختلف اعتمادًا على خطورة الحالة المعالجة. من المهم اتباع التعليمات الموجودة على العبوة أو استشارة محترف في الرعاية الصحية قبل استخدام هذا الدواء.
سيفوتاكس 1 جم 1 فيال,Cefotax 1 gm Vial,43,إيبيكو,الأدوية,مضادات حيوية,سيفوتاكسيم,No,السيفوتاكسيم هو مضاد حيوي من الجيل الثالث من السيفالوسبورين. إنه مضاد حيوي طيف واسع، مما يعني أنه يمكن أن يقتل مجموعة واسعة من البكتيريا.,تعتمد الجرعة على شدة العدوى وعلى عمر المريض ووزنه وتاريخه الطبي. تعتمد الجرعة للأطفال على وزن الطفل.
سرنجة انسولين 100 وحدة,Syringe Insulin 100 Units,4,N/A,الأجهزة والمستلزمات الطبية,كانيولا و سرنجات,N/A,No,,
كلوريد البوتاسيوم 15%  مركز للحقن دستور الأدوية الأمريكي 2023 5 مل 1 أمبول,Potassium Chloride 15% For Injection Concentrate USP 2023 5 ml 1 Ampoule,5,اوتسوكا,الأدوية,الأدوية المتخصصة,N/A,No,,
زيرتك 10 مجم 20 قرص,Zyrtec 10 mg 20 Tablets,100,جي إس كيه,الأدوية,أدوية تسبب النعاس,سيتيريزين,No,تخفيف أعراض الحساسية مثل العطس وسيلان الأنف وحكة العين والقشعريرة.,قرص واحد مرة واحدة يوميًا للبالغين والأطفال فوق 6 سنوات.
ديرماتول غيار جروح غير لاصق/ شاش فازلين 10/10 سم,"Dermatol Non-Adhesive Dressing, Vaseline Gauze 10/10Cm",8,ماسكو ميد,الأجهزة والمستلزمات الطبية,العناية بالجروح والحروق,N/A,No,,
أوميجا 3 بلس 30 كبسولة جيلاتينية رخوة,Omega -3 Plus 30 Soft Gelatin Capsules,135,سيدكو,فيتامينات & طعام صحي,"زيوت الأسماك وأوميجا 3,6.9",N/A,No,,
فاستاريل ام ار 35 مجم 30 قرص,Vastarel MR 35 mg 30 Modified Release Film Coated Tablets,175,سيرفير,الأدوية,أمراض القلب و الضغط و الدم,تريميتازدين,No,العلاج التنظيمي لألم الصدر (الذبحة الصدرية) في المرضى ذوي الذبحة الصدرية الثابتة.,للبالغين: 35 مجم مرتين يوميًا. قد تكون هناك حاجة لتعديل الجرعة استنادًا إلى استجابة وتحمل المريض الفردي.
دوفالاك 667 مجم/1 مل شراب 200 مل,Duphalac 667 mg/1ml 200 ml Syrup,143,أبوت,الأدوية,الملينات,لاكتولوز,No,الإمساك. داء تلف الكبد والمخمليات (PSE). تليين البراز في مرضى البواسير والشقوق الشرجية والقنوات والخراجات الشرجية والقرح الوحيدة وفي الفترة ما بعد الجراحة في منطقة الشرج والمستقيم.,الإمساك: البالغين والأطفال فوق سن 6 سنوات: 15-30 مل مرة واحدة يوميًا. الأطفال دون سن 6 سنوات: 5-15 مل مرة واحدة يوميًا. داء تلف الكبد والمخمليات (PSE): البالغين: 30-60 مل ثلاث مرات يوميًا. الأطفال: 15-30 مل ثلاث مرات يوميًا. تليين البراز: البالغين والأطفال: 10-20 مل مرة واحدة يوميًا.
"فيروجلوبين بي 12, 30 كبسولة",Feroglobin 30 Capsules,210,فيتابيوتكس,فيتامينات & طعام صحي,حديد,N/A,No,,
كونجستال 20 قرص,Congestal 20 Tablets,50,سيجما فارما,الأدوية,أدوية نزلات البرد والانفلونزا,كلورفينيرامين + باراسيتامول + سودوإيفيدرين,No,دواء يباع دون وصفة طبية تخفيف أعراض الزكام والإنفلونزا.,قرص واحد كل 4 ساعات، ولا يجب تجاوز أربعة أقراص في 24 ساعة.
إيفا أسيتون مزيل طلاء الأظافر خالي من العطور 100 مل,Eva Acetone Fragrance Free 100 ml,50,إيفا مستحضرات التجميل,منتجات التجميل و الاكسسوارات,مزيل طلاء الأظافر,N/A,No,,
ديكانست اس ار 20 قرص,Decancit SR 20 Tablets,42,ابيكس فارما,الأدوية,مضادات الاحتقان و الجيوب الأنفية,السيتريزين + السودوإيفيدرين,No,"علاج أو منع أعراض الحساسية، مثل: احتقان الأنف العطس سيلان الأنف حكة في الأنف أو الحلق أو العيون الدامعة , الحكة والاحمرار.",البالغين والأطفال بعمر 12 سنة فما فوق: قرص واحد كل 12 ساعة لا تتناول أكثر من قرصين خلال 24 ساعة
أنتينال 200 مجم 24 كبسولة,Antinal 200 mg 24 Capsules,52,امون,الأدوية,علاج الاسهال,نيفوروكسازيد,No,دواء مضاد للعدوى يستخدم لعلاج الإسهال الناتج عن الجراثيم، حيث يعمل على قتل البكتيريا التي تسبب الإسهال.,للبالغين والأطفال الذين يزيد عمرهم عن 12 عامًا: تناول كبسولة واحدة عن طريق الفم 4 مرات يوميًا لمدة 3 أيام. للأطفال الذين تقل أعمارهم عن 12 عامًا: يتم تحديد الجرعة استنادًا إلى الوزن ويجب تحديدها من قبل الطبيب.
فيبراميسين 100 مجم 10 كبسولات,Vibramycin 100 mg 10 Capsules,65,فايزر,الأدوية,مضادات حيوية,دوكسيسيكلين,No,الدوكسيسيكلين هو مضاد حيوي واسع الطيف يستخدم لعلاج مجموعة متنوعة من الالتهابات البكتيرية ، بما في ذلك حب الشباب والتهابات الجهاز التمثائلي ومرض لايم.,خذ 1 كبسولة عن طريق الفم كل 12 ساعة.
ديمرا 20 قرص,Dimra 20 Tablets,70,أكتوبر فارما,الأدوية,مسكن و باسط للعضلات,ديكلوفيناك البوتاسيوم+الميثوكاربامول,No,الألم والالتهاب الناتج عن التهاب المفاصل الروماتويدي والتهاب المفاصل العظمي والتهاب الفقار المقسط والنقرص. إصابات الأنسجة اللينة ، مثل الالتواءات والإجهادات. آلام الظهر. تقلصات الحيض. الصداع. وجع الأسنان.,1 إلى 2 قرص كل 6 إلى 8 ساعات حسب الحاجة. لا تتجاوز 3 أقراص يوميًا.
ديكساميثازون 8 مجم / 2 مل 3 أمبولات (أميرية),Dexamethasone 3 Ampoules (Amirya),36,العامرية,الأدوية,هرمون الكورتيزون,ديكساميثازون,No,ردود فعل تحسسية شديدة نقص الغدة الكظرية الأمراض المناعية الذاتية السرطان التهاب شديد,ستختلف الجرعة للديكساميثازون اعتمادًا على الحالة المعالجة واستجابة المريض الفردية. بالنسبة للبالغين، الجرعة النموذجية للبداية تتراوح من 4 إلى 20 مليجرام يوميًا. يمكن تعديل الجرعة أعلى أو أدنى اعتمادًا على استجابة المريض.
نيزابكس شامبو 80 مل,Nizapex Shampoo 80 ml,68,ابيكس فارما,الأدوية,عدوى الجلد,كيتوكونازول,No,علاج قشرة الرأس علاج tinea versicolor (Sun Fungus) علاج التهابات الفطرية الأخرى للجلد,البالغين والأطفال أكثر من 12 عامًا: تقدم بتقدم مرتين في الأسبوع لمدة 2-4 أسابيع ، أو حسب توجيهات طبيبك.
لوسترال 50 مجم 20 قرص,Lustral 50 mg 20 Film Coated Tablets,136,فايزر,الأدوية,علاجات الاكتئاب والفصام,سيرترالين,No,دواء يوصف بوصفة طبية ويستخدم لعلاجاضطراب الاكتئاب الكبير، اضطراب الوسواس القهري، اضطراب الهلع، اضطراب القلق الاجتماعي، واضطراب ما بعد الصدمة.,سوف تختلف الجرعة من فرد لاخر تبعا لاحتياجات المريض. ومن المهم اتباع تعليمات الطبيب عند تناول هذا الدواء.
بروفين 600 مجم 30 قرص,Brufen 600 mg 30 Tablets,99,أبوت,الأدوية,مسكنات وخافض الحرارة,ايبوبروفين,No,مسكن للألم مخفض للحمى مضاد التهاب,تناول قرص واحد عن طريق الفم كل 4-6 ساعات حسب الحاجة.
كاتافاست 50 مجم 9 اكياس,Catafast 50 mg 9 Sachets,72,نوفارتس,الأدوية,مسكنات وخافض الحرارة,ديكلوفيناك البوتاسيوم,No,مسكن للألم مضاد التهابات مضاد للحمى,50 مليجرام لكل كيس
سيتال 100 مجم/مل نقط فموية 15 مل,Cetal 100 mg/ml Oral Drops 15 ml,23,إيبيكو,العناية بصحة الأطفال,مسكنات وخافض الحرارة,باراسيتامول,No,الحمى الصداع آلام العضلات آلام الأسنان أعراض الزكام والإنفلونزا العادية,الأطفال تحت سن 6 شهور: 10 مليجرام/كجم كل 4-6 ساعات (الحد الأقصى للجرعات 5 مرات يوميًا). الأطفال من 6-12 شهرًا: 15 مليجرام/كجم كل 4-6 ساعات (الحد الأقصى للجرعات 5 مرات يوميًا). الأطفال من سنة إلى سنتين: 20 مليجرام/كجم كل 4-6 ساعات (الحد الأقصى للجرعات 5 مرات يوميًا). الأطفال من 3-5 سنوات: 25 مليجرام/كجم كل 4-6 ساعات (الحد الأقصى للجرعات 5 مرات يوميًا). الأطفال من 6-12 سنة: 30 مليجرام/كجم كل 4-6 ساعات (الحد الأقصى للجرعات 5 مرات يوميًا). البالغين: 500 مليجرام كل 4-6 ساعات (الحد الأقصى للجرعات 4 جرام يوميًا).
زوركال 40 مجم 28 قرص مقاوم للعصارة المعدية,Zurcal 40 mg 28 Gastro Resistant Tablets,192,ايه يو جي فارما,الأدوية,مضادات الحموضة و قرحة المعدة,بانتوبرازول,No,علاج قرحة المعدة والوقاية منها علاج حرقة ومرض الجزر الحمضي (GERD) علاج متلازمة Zollinger-Ellison ، وهي حالة تسبب المعدة لإنتاج الكثير من الحمض القضاء على هليكوباكتر بيلوري (H. pylori) ، وهو نوع من البكتيريا التي يمكن أن تسبب قرحة المعدة,قرص واحد مرة واحدة يوميا
بانادول لعلاج نزلات البرد الحادة 20 قرص مغلف,Panadol Acute Head Cold 20 Film Coated Tablets,62,N/A,الأدوية,أدوية نزلات البرد والانفلونزا,برومفينيرامين + باراسيتامول + بسودوإفيدرين,No,تخفيف الأعراض المصاحبة لنزلات البرد الحادة، بما في ذلك احتقان الأنف والصداع والحمى وآلام الجيوب الأنفية.,
سيدوفاج 500 مجم 10 أقراص,Cidophage 500 mg 10 Tablets,11,سيد,الأدوية,أدوية مرض السكري,ميتفورمين,No,تُستخدم لعلاج السكري من النوع 2 خفض مستويات السكر في الدم الحد من مخاطر الإصابة بمضاعفات السكري، مثل أمراض القلب والسكتة الدماغية وأمراض الكلى,الجرعة العادية في البداية هي 500 مليجرام أو 850 مليجرام مرتين يوميًا. يمكن زيادة الجرعة تدريجيا حتى تصبح مستويات السكر في الدم تحت السيطرة.
كارباميد كريم 30 جم,Carbamide Cream 30 gm,40,ممفيس,العناية بالبشرة و الجسم,مرطبات الجسم,N/A,No,,
كتافلام 50 مجم 20 قرص,Cataflam 50 mg 20 Tablets,86,نوفارتس,الأدوية,مسكنات وخافض الحرارة,ديكلوفيناك البوتاسيوم,No,دواء مضاد للالتهابات غير ستيرويدي (NSAID) مسكن للألم مضاد للحمى,تناول 1 قرص عن طريق الفم كل 4 إلى 6 ساعات.
راني اف 20 مجم 6 اكياس,Rani-F 20 mg 6 Sachets,42,فاركو,الأدوية,مضادات الحموضة و قرحة المعدة,N/A,No,دواء يصرف بوصفة طبية يُستخدم لعلاج حرقة المعدة والاضطرابات الهضمية وقرحة المعدة,
مالتي فارما كحول إيثيلي 70% 120 مل,Multi Pharma Ethyl Alcohol 70% 120 ml,45,N/A,العناية بالبشرة و الجسم,معقم لليدين,N/A,No,,
فورتم 1 جم 1 فيال,Fortum 1 gm 1 Vial,106,جي إس كيه,الأدوية,مضادات حيوية,سيفتازيديم,No,مضاد حيوي من الجيل الثالث واسع المجال من مضادات السيفالوسبورين. يُستخدم لعلاج مجموعة متنوعة من العدوى البكتيرية، بما في ذلك الالتهاب الرئوي، والعدوى النسائية، والالتهابات العظمية والمفصلية، والتسمم الدموي.,البالغين: 1-2 جم عن طريق الوريد كل 8 ساعات الأطفال: 30-50 مليجرام/كجم عن طريق الوريد كل 8 ساعات
ليمتلس باور ماكس 30 قرص مغلف,Limitless Power Max 30 Film Coated Tablets,310,ليمتلس,الصحة الجنسية,مقوي جنسي,N/A,No,,
بيتاديرم كريم موضعي 15 جم,Betaderm 0.1% Cream 15 gm,18,إيبيكو,الأدوية,ملطف موضعي و مضاد للالتهاب,بيتاميثازون,No,علاج مجموعة متنوعة من حالات الجلد، بما في ذلك الإكزيما والصدفية والتهاب الجلد والحساسية والطفح الجلدي. الحد من التهاب الجلد والحكة والاحمرار.,ضع طبقة رقيقة من الكريم على المنطقة المصابة مرة أو مرتين يوميًا.
جاون طبى 25 جرام كم طويل,Gaon Medical 25G Long Sleeve,17,N/A,الأجهزة والمستلزمات الطبية,ملابس السلامة,N/A,No,,
ماسك للوجه KN95 بدون فلتر,Face Mask Kn95 Without Filter,20,N/A,الأجهزة والمستلزمات الطبية,ماسك للوجه يعاد استخدامه,N/A,No,,
فوار فروت فواكه 6 أكياس,Fawar-Fruit 5 gm 6 Packets,24,فاركو,الأدوية,مضادات الحموضة و قرحة المعدة,N/A,No,علاج عسر الهضم ، حرقة ، واضطراب المعدة.,
كولوفيرين د 30 قرص مغلف,Coloverin D 30 Film Coated Tablets,105,كيميفارم,الأدوية,مضاد للتقلصات,ميبيفيرين + دايميثيكون,No,علاج متلازمة القولون العصبي (IBS) تخفيف آلام البطن والمغص والانتفاخ تقليل الغازات وانتفاخ البطن,
ميبو مرهم 15 جم,Mebo Ointment 15 gm,109,جلفار,الأدوية,علاج الحروق و الجروح,N/A,No,مضاد للالتهابات، ومضاد للحكة، ومرطب.,كما هو موجه من قبل الطبيب.
فوليك اسيد 500 مكجم 20 قرص,Folic Acid 500 mcg 20 Tablets,40,ميباكو فارما,فيتامينات & طعام صحي,حمض الفوليك,N/A,No,وهو مكمل غذائي يحتوي على 5 ملغ من حمض الفوليك لكل قرص.,
مينوكسيلوك 5% محلول موضعي للرجال و النساء 100 مل,Minoxilook 5% Topical Solution For Men & Women 100 ml,144,باركفيل,الأدوية,علاج تساقط الشعر الوراثي,المينوكسيديل,No,,
