Name_AR,Name_EN,Price,Brand_AR,Category_AR,Sub_Category_AR,Active_Ingredient,Requires_Fridge,Indications,Dosage
بلاستر جراحى كيور ايد 1000 قطعة طويل,Plaster (1000 Pieces) Cure-Aid Straight,1,N/A,الأجهزة والمستلزمات الطبية,العناية بالجروح والحروق,N/A,No,,
وايت مناديل للجيب 10 مناديل,White Pocket 10 Tissues,2.5,وايت,العناية اليومية,مناديل & ورقيات,N/A,No,,
سرنجة بدون الم 3 سم,Painless Syring 3 Cm,3,N/A,الأجهزة والمستلزمات الطبية,كانيولا و سرنجات,N/A,No,,
ماء مذيب 5 مل,Solvent Water 5 ml,2.5,N/A,الأدوية,الأدوية المتخصصة,N/A,No,,
سرنجة كبار 3 سم,Syringe For Adult 3 Cm,3,N/A,الأجهزة والمستلزمات الطبية,كانيولا و سرنجات,N/A,No,,
"ماسكو 5 سم, سرنجة دواء",Masco 5 Cm Syringe For Oral Syrup,5,ماسكو ميد,الأجهزة والمستلزمات الطبية,كانيولا و سرنجات,N/A,No,,
سرنجة كبار 10 سم,Syringe For Adult 10 Cm,5,N/A,الأجهزة والمستلزمات الطبية,كانيولا و سرنجات,N/A,No,,
سرنجة كبار 5 سم,Syringe For Adult 5 Cm,3,N/A,الأجهزة والمستلزمات الطبية,كانيولا و سرنجات,N/A,No,,
ماء مذيب 50 مل,Solvent Water 50 ml,2,N/A,الأدوية,الأدوية المتخصصة,N/A,No,,
كونترولوك 40 مجم 14 قرص,Controloc 40 mg 14 Gastro-Resistant Tablets,188,أسينو,الأدوية,مضادات الحموضة و قرحة المعدة,بانتوبرازول,No,العلاج قصير الأمد لأعراض الارتجاع الحمضي لدى البالغين علاج مرض الارتجاع المعدي المريئي (GERD) علاج قرحة الاثني عشر والمعدة علاج متلازمة زولينجر إيليسون وغيرها من الحالات المرضية ذات الإفراز المفرط,البالغون: قرص واحد (40 مليجرام) مرة واحدة يوميًا يمكن زيادة الجرعة إلى قرصين (80 مليجرام) مرة واحدة يوميًا للمرضى الأفراد أو للحالات الأكثر شدة
دوليبران 1000 مجم 20 قرص,Doliprane 1000 mg 20 Tablets,60,سانوفى,الأدوية,مسكنات وخافض الحرارة,باراسيتامول,No,يخفف الألم يقلل من الحمى مناسب للبالغين والأطفال,قرص واحد لكل جرعة
ديوراميد غيار جروح غير منسوج عالي الأمتصاص 10/10 سم,"Duramid Wound Dressing, Highly Absorbent, 10/10 Cm",8,ماسكو ميد,الأجهزة والمستلزمات الطبية,العناية بالجروح والحروق,N/A,No,,
بابيا مناديل ناعمة للوجه 4 طبقات 500 منديل,Papia Silky Softness 4Ply Tissues 500 Tissues,39,بابيا,العناية اليومية,مناديل & ورقيات,N/A,No,,
ماسكو جهاز نقل محاليل,Masco Infusion Set,15,ماسكو ميد,الأجهزة والمستلزمات الطبية,جهاز محاليل,N/A,No,,
صوديوم كلوريد 0.9% محلول للحقن الوريدي 500 مل بغطاء (انترا فارما),Sodium Chloride 0.9% Intravenous Infusion 500 ml With Cap (Intra Pharm),29.5,انترا فارم,الأدوية,الأدوية المتخصصة,N/A,No,محلول للحقن عن طريق الوريد لاستعادة توازن الإلكتروليت، وعلاج الجفاف، وتخفيف أو حقن الأدوية.,يتم تحديد الجرعة بناءً على حالة المريض، ومتطلبات السوائل، والحالة الطبية الأساسية. عادة ما يتم التحكم في معدل التسريب من قبل أخصائي الرعاية الصحية.
دكتور إيد بلاستر دائري 100 قطعة,Doctor Aid Sheer Spots 100 Spots,1,N/A,الأجهزة والمستلزمات الطبية,العناية بالجروح والحروق,N/A,No,,
في دروب 2800 وحدة دولية/مل نقط بالفم 15 مل,Vidrop Oral Drops 15 ml,26,شركة المهن الطبية,العناية بصحة الأطفال,فيتامين د,N/A,No,,
بيور كحول ايثيلي 70% 70 مل,Pure Ethyl Alcohol 70% 70 ml,30,بيور,العناية اليومية,مطهرات,N/A,No,,
